car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh),redundant_price_column,car_age,mileage_category
BMW,i3,51000.0,900.0,automatic transmission,Hybrid,RHD,Other,4 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,2360003.0,2360003.0,9.0,1.0
GENESIS,G80,120000.0,2497.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,5564201.0,5564201.0,5.0,2.0
MERCEDES,E CLASS,41000.0,1991.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,4562663.0,4562663.0,6.0,0.0
BMW,1 SERIES,27000.0,1998.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2021.0,5111169.0,5111169.0,4.0,0.0
TOYOTA,PRIUS,52000.0,1800.0,automatic transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,0,2016.0,2317134.0,2317134.0,9.0,1.0
TOYOTA,HARRIER 2.5Z PHEV 4WD,2000.0,2500.0,automatic transmission,Electric/Other,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2023.0,4883891.0,4883891.0,2.0,0.0
BMW,7 SERIES,124000.0,2993.0,automatic transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2016.0,4915039.0,4915039.0,9.0,2.0
TOYOTA,PRIUS S,86000.0,1800.0,automatic transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,2710494.0,2710494.0,9.0,1.0
GENESIS,G80,15000.0,2497.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,6391278.0,6391278.0,4.0,0.0
MERCEDES,CLA CLASS,50000.0,1991.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,5161105.0,5161105.0,4.0,0.0
TOYOTA,COROLLA SPORT G,30000.0,1200.0,automatic transmission,Petrol,RHD,4WD,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018.0,2372723.0,2372723.0,7.0,0.0
TOYOTA,FORTUNER 2.4 V,103000.0,2400.0,automatic transmission,Diesel,RHD,Other,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2015.0,5559019.0,5559019.0,10.0,2.0
BMW,5 SERIES,46000.0,1995.0,automatic transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2017.0,4890542.0,4890542.0,8.0,0.0
BMW,1 SERIES,37000.0,1995.0,automatic transmission,Diesel,LHD,2WD,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2020.0,4883891.0,4883891.0,5.0,0.0
TOYOTA,LAND CRUISER,68000.0,4300.0,automatic transmission,Petrol,LHD,4WD,7 Seats,5 Doors,suv,1,1,0,0,0,1,1,1,2015.0,6103756.0,6103756.0,10.0,1.0
TOYOTA,86 SZ,7000.0,2400.0,manual transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2021.0,4270411.0,4270411.0,4.0,0.0
MERCEDES,E CLASS,21000.0,1991.0,automatic transmission,Hybrid,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,7529431.0,7529431.0,4.0,0.0
KIA,SORENTO,57000.0,2497.0,automatic transmission,Petrol,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021.0,5607541.0,5607541.0,4.0,1.0
MERCEDES,A CLASS,40000.0,1595.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2017.0,2435064.0,2435064.0,8.0,0.0
BMW,X5M,22000.0,4300.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,0,0,1,0,0,1,1,2021.0,12155848.999999989,12155848.999999989,4.0,0.0
MERCEDES,S CLASS,90000.0,3982.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,11391898.0,11391898.0,6.0,1.0
KIA,K9,27000.0,3342.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,8028315.0,8028315.0,4.0,0.0
MERCEDES,GLE CLASS,14000.0,2900.0,automatic transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2022.0,10602665.0,10602665.0,3.0,0.0
TOYOTA,PRIUS A,43000.0,1800.0,automatic transmission,Hybrid,RHD,4WD,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,2498033.0,2498033.0,9.0,0.0
TOYOTA,PRIUS,46000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2019.0,4012587.0,4012587.0,6.0,0.0
MERCEDES,GLC CLASS,9000.0,2996.0,automatic transmission,Petrol,LHD,4WD,2 Seats,4 Doors,coupe,1,1,0,1,0,0,1,1,2022.0,9923696.0,9923696.0,3.0,0.0
BMW,X3,42000.0,2000.0,automatic transmission,Hybrid,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,0,1,2020.0,5154509.0,5154509.0,5.0,0.0
MERCEDES,CLS CLASS,44000.0,2999.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,7494256.0,7494256.0,6.0,0.0
TOYOTA,AQUA,6000.0,1490.0,automatic transmission,Hybrid,RHD,4WD,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2022.0,3183155.0,3183155.0,3.0,0.0
MERCEDES,E CLASS,38000.0,1950.0,automatic transmission,Diesel,LHD,2WD,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2017.0,5173020.0,5173020.0,8.0,0.0
TOYOTA,LAND CRUISER AX 4WD,34000.0,4300.0,automatic transmission,Petrol,RHD,4WD,8 Seats,5 Doors,suv,1,0,0,1,0,1,1,1,2017.0,4883891.0,4883891.0,8.0,0.0
GENESIS,GV80,10000.0,3470.0,automatic transmission,Petrol,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2022.0,4883891.0,4883891.0,3.0,0.0
BMW,M4,34000.0,3000.0,automatic transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2017.0,6336739.0,6336739.0,8.0,0.0
TOYOTA,PRIUS,24000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2021.0,3122855.0,3122855.0,4.0,0.0
BMW,X5,7000.0,3000.0,automatic transmission,Hybrid,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2021.0,9548994.0,9548994.0,4.0,0.0
TOYOTA,PRIUS,93000.0,1800.0,automatic transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,0,2019.0,4883891.0,4883891.0,6.0,1.0
BMW,5 SERIES,34000.0,4300.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,9177147.0,9177147.0,4.0,0.0
TOYOTA,FORTUNER 2.8 TRD SPORTIVO BLACK TOP 4WD,22000.0,2400.0,automatic transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2020.0,7837367.0,7837367.0,5.0,0.0
TOYOTA,LAND CRUISER PRADO TX,30000.0,2700.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2015.0,5347970.0,5347970.0,10.0,0.0
TOYOTA,LAND CRUISER PRADO,15000.0,2700.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2022.0,6937585.0,6937585.0,3.0,0.0
GENESIS,GV80,6000.0,2497.0,automatic transmission,Petrol,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2023.0,9527481.0,9527481.0,2.0,0.0
MERCEDES,C CLASS,8000.0,1991.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,5429783.0,5429783.0,4.0,0.0
KIA,K9,42000.0,3778.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,4639922.0,4639922.0,6.0,0.0
TOYOTA,PRIUS S,29000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2019.0,4358367.0,4358367.0,6.0,0.0
TOYOTA,CROWN CROSSOVER,1000.0,2500.0,automatic transmission,Hybrid,RHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,0,2023.0,7350574.0,7350574.0,2.0,0.0
TOYOTA,PRIUS,49000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2020.0,2582044.0,2582044.0,5.0,0.0
TOYOTA,86,1000.0,2400.0,manual transmission,Petrol,RHD,2WD,4 Seats,2 Doors,coupe,0,1,0,1,0,0,0,1,2022.0,4556566.0,4556566.0,3.0,0.0
TOYOTA,PRIUS A,62000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,2347284.0,2347284.0,9.0,1.0
TOYOTA,COROLLA SPORT,4000.0,2000.0,automatic transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2023.0,3614516.0,3614516.0,2.0,0.0
GENESIS,G70,73000.0,2151.0,automatic transmission,Diesel,LHD,Other,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021.0,5677890.0,5677890.0,4.0,1.0
BMW,5 SERIES,64000.0,1995.0,automatic transmission,Diesel,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,5391153.0,5391153.0,6.0,1.0
TOYOTA,PASSO X S,8000.0,1000.0,automatic transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,0,2017.0,2272695.0,2272695.0,8.0,0.0
TOYOTA,YARIS,30000.0,1600.0,manual transmission,Petrol,RHD,4WD,4 Seats,3 Doors,hatchback,1,1,0,1,0,0,1,1,2021.0,5463858.0,5463858.0,4.0,0.0
TOYOTA,RAV4,6000.0,2500.0,automatic transmission,Hybrid,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2020.0,5435279.0,5435279.0,5.0,0.0
TOYOTA,HARRIER,26000.0,2000.0,automatic transmission,Petrol,RHD,Other,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2021.0,5157650.0,5157650.0,4.0,0.0
MERCEDES,S CLASS,63000.0,3982.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,12155848.999999989,12155848.999999989,7.0,1.0
KIA,STINGER,20000.0,2497.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,5411724.0,5411724.0,4.0,0.0
TOYOTA,PRIUS,31000.0,1800.0,automatic transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,1,2019.0,4883891.0,4883891.0,6.0,0.0
TOYOTA,NOAH,45000.0,1800.0,automatic transmission,Hybrid,RHD,Other,4 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,2531323.0,2531323.0,9.0,0.0
GENESIS,G80,123000.0,3470.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,5423816.0,5423816.0,5.0,2.0
TOYOTA,LAND CRUISER HARD TOP V8 3 DOOR WITH REAR SEATS 2023,1000.0,900.0,automatic transmission,Petrol,LHD,4WD,7 Seats,3 Doors,suv,1,1,0,1,0,0,1,0,2023.0,8878476.0,8878476.0,2.0,0.0
BMW,3 SERIES,22000.0,2998.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,4883891.0,4883891.0,3.0,0.0
GENESIS,G80,33000.0,3342.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,5032811.0,5032811.0,6.0,0.0
TOYOTA,CROWN HYBRID,19000.0,2500.0,automatic transmission,Hybrid,RHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,4348788.0,4348788.0,5.0,0.0
GENESIS,GV80,34000.0,2996.0,automatic transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2020.0,8777191.0,8777191.0,5.0,0.0
KIA,SORENTO,46000.0,2151.0,automatic transmission,Diesel,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021.0,5532637.0,5532637.0,4.0,0.0
MERCEDES,CLS CLASS,99000.0,4300.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2016.0,5711652.0,5711652.0,9.0,1.0
MERCEDES,S CLASS,135000.0,2996.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,7913997.0,7913997.0,6.0,2.0
BMW,5 SERIES,13000.0,1998.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2023.0,6982967.0,6982967.0,2.0,0.0
BMW,7 SERIES,123000.0,2993.0,automatic transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,8502546.0,8502546.0,6.0,2.0
KIA,K8,12000.0,3470.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,4728173.0,4728173.0,3.0,0.0
TOYOTA,PRIUS A,60000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2019.0,2986396.0,2986396.0,6.0,1.0
KIA,MOHAVE,44000.0,2959.0,automatic transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2022.0,6545952.0,6545952.0,3.0,0.0
GENESIS,G80,38000.0,2497.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,6296745.0,6296745.0,4.0,0.0
MERCEDES,GLC CLASS,13000.0,1991.0,automatic transmission,Hybrid,LHD,4WD,4 Seats,4 Doors,coupe,1,1,0,1,0,0,1,1,2020.0,7676095.0,7676095.0,5.0,0.0
MERCEDES,S CLASS,47000.0,4300.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,12155848.999999989,12155848.999999989,5.0,0.0
BMW,7 SERIES,8000.0,2998.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2023.0,12155848.999999989,12155848.999999989,2.0,0.0
GENESIS,G80,49000.0,3470.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,6640955.0,6640955.0,4.0,0.0
TOYOTA,CROWN CROSSOVER,10000.0,2400.0,automatic transmission,Hybrid,RHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2023.0,4883891.0,4883891.0,2.0,0.0
GENESIS,G70,2000.0,2497.0,automatic transmission,Petrol,LHD,2WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2023.0,6921568.0,6921568.0,2.0,0.0
TOYOTA,LAND CRUISER PRADO,33000.0,2700.0,automatic transmission,Petrol,RHD,4WD,8 Seats,5 Doors,suv,0,1,0,1,0,0,0,1,2018.0,6230950.0,6230950.0,7.0,0.0
TOYOTA,PRIUS,32000.0,1800.0,automatic transmission,Petrol,RHD,Other,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2021.0,2686626.0,2686626.0,4.0,0.0
KIA,K8,23000.0,3470.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,4646831.0,4646831.0,4.0,0.0
TOYOTA,PRIUS,35000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,2867524.0,2867524.0,9.0,0.0
BMW,X5,44000.0,2993.0,automatic transmission,Diesel,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2019.0,9442213.0,9442213.0,6.0,0.0
TOYOTA,PRIUS A,74000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2017.0,2279133.0,2279133.0,8.0,1.0
MERCEDES,C CLASS,9000.0,1999.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2023.0,8368285.0,8368285.0,2.0,0.0
TOYOTA,PRIUS,51000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2020.0,2986396.0,2986396.0,5.0,1.0
TOYOTA,PRIUS,35000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2019.0,3917427.0,3917427.0,6.0,0.0
TOYOTA,VOXY S-Z,2000.0,2000.0,automatic transmission,Petrol,RHD,Other,4 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2022.0,4369516.0,4369516.0,3.0,0.0
TOYOTA,CROWN,58000.0,3500.0,automatic transmission,Hybrid,RHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,4337796.0,4337796.0,6.0,1.0
TOYOTA,LAND CRUISER PRADO,2000.0,2700.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2022.0,6375418.0,6375418.0,3.0,0.0
MERCEDES,GLC CLASS,38000.0,1991.0,automatic transmission,Petrol,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2019.0,5846697.0,5846697.0,6.0,0.0
TOYOTA,PRIUS S,52000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2019.0,3627235.0,3627235.0,6.0,1.0
GENESIS,G80,6000.0,3470.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,7492686.0,7492686.0,5.0,0.0
MERCEDES,C CLASS,73000.0,1991.0,automatic transmission,Petrol,LHD,2WD,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2017.0,3823176.0,3823176.0,8.0,1.0
GENESIS,GV80,42000.0,2996.0,automatic transmission,Diesel,LHD,2WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2020.0,7656311.0,7656311.0,5.0,0.0
TOYOTA,LAND CRUISER PRADO,11000.0,2700.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,0,0,2023.0,6230950.0,6230950.0,2.0,0.0
TOYOTA,LAND CRUISER PRADO,1000.0,2700.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,1,0,2023.0,5363830.0,5363830.0,2.0,0.0
BMW,X6,21000.0,3000.0,automatic transmission,Diesel,RHD,4WD,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2022.0,9448495.0,9448495.0,3.0,0.0
KIA,K9,113000.0,3778.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,4546018.0,4546018.0,6.0,2.0
TOYOTA,HARRIER,1000.0,2000.0,automatic transmission,Petrol,RHD,Other,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2023.0,5641459.0,5641459.0,2.0,0.0
TOYOTA,YARIS,3000.0,1500.0,automatic transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,0,2021.0,2264843.0,2264843.0,4.0,0.0
MERCEDES,CLS CLASS,63000.0,2999.0,automatic transmission,Hybrid,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,8718148.0,8718148.0,4.0,1.0
GENESIS,G80,46000.0,2497.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,6847136.0,6847136.0,5.0,0.0
TOYOTA,PRIUS PHV,62000.0,1800.0,automatic transmission,Hybrid,RHD,Other,4 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2017.0,4883891.0,4883891.0,8.0,1.0
TOYOTA,PRIUS,37000.0,1800.0,automatic transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,1,2020.0,2475734.0,2475734.0,5.0,0.0
GENESIS,G80,89000.0,2497.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,6331135.0,6331135.0,5.0,1.0
KIA,SORENTO,5000.0,2151.0,automatic transmission,Diesel,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2023.0,5533266.0,5533266.0,2.0,0.0
KIA,MOHAVE,72000.0,2959.0,automatic transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2020.0,5615549.0,5615549.0,5.0,1.0
MERCEDES,GLC CLASS,63000.0,1991.0,automatic transmission,Petrol,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2020.0,5772265.0,5772265.0,5.0,1.0
BMW,3 SERIES,6000.0,1995.0,automatic transmission,Diesel,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2023.0,6617401.0,6617401.0,2.0,0.0
TOYOTA,LAND CRUISER PRADO VXR V6 AWD - 7 SEATER,54000.0,900.0,automatic transmission,Petrol,LHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,0,2019.0,7544820.0,7544820.0,6.0,1.0
TOYOTA,FORTUNER 2.4 V 4WD,50000.0,2400.0,automatic transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2019.0,5780274.0,5780274.0,6.0,0.0
TOYOTA,COROLLA AXIO X,142000.0,1320.0,automatic transmission,Petrol,RHD,2WD,5 Seats,4 Doors,sedan,1,1,1,1,1,0,1,0,2017.0,1061051.0,1061051.0,8.0,2.0
KIA,MOHAVE,43000.0,2959.0,automatic transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2020.0,5692494.0,5692494.0,5.0,0.0
BMW,7 SERIES,32000.0,2998.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,10345293.0,10345293.0,3.0,0.0
BMW,X5,75000.0,2993.0,automatic transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2018.0,5857690.0,5857690.0,7.0,1.0
MERCEDES,CLA CLASS,44000.0,1991.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,5140691.0,5140691.0,5.0,0.0
MERCEDES,S CLASS,56000.0,2996.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2017.0,8919304.0,8919304.0,8.0,1.0
TOYOTA,PRIUS,23000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2019.0,2869095.0,2869095.0,6.0,0.0
MERCEDES,E CLASS,16000.0,1991.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,7088334.0,7088334.0,3.0,0.0
KIA,MOHAVE,60000.0,2959.0,automatic transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021.0,5758133.0,5758133.0,4.0,1.0
BMW,3 SERIES,15000.0,1995.0,automatic transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2023.0,7174543.0,7174543.0,2.0,0.0
BMW,5 SERIES,59000.0,1998.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2017.0,4740578.0,4740578.0,8.0,1.0
MERCEDES,E CLASS,80000.0,1991.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2017.0,4634426.0,4634426.0,8.0,1.0
TOYOTA,PRIUS,37000.0,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2021.0,3682667.0,3682667.0,4.0,0.0
BMW,1 SERIES 116I STYLE,64000.0,1590.0,automatic transmission,Petrol,RHD,2WD,5 Seats,5 Doors,hatchback,1,1,1,1,1,1,1,1,2015.0,804150.0,804150.0,10.0,1.0
MERCEDES,S CLASS,52000.0,4300.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,4883891.0,4883891.0,7.0,1.0
TOYOTA,PRIUS Z,1000.0,2000.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2023.0,5143360.0,5143360.0,2.0,0.0
TOYOTA,LAND CRUISER PRADO,1000.0,2700.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2022.0,7567275.0,7567275.0,3.0,0.0
MERCEDES,E CLASS,56000.0,1950.0,automatic transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,5426014.0,5426014.0,6.0,1.0
BMW,3 SERIES,30000.0,1998.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,5873550.0,5873550.0,6.0,0.0
TOYOTA,HARRIER HYBRID,16000.0,2500.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2022.0,5267100.0,5267100.0,3.0,0.0
TOYOTA,HARRIER,11000.0,1980.0,automatic transmission,Petrol,RHD,Other,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2021.0,5332110.0,5332110.0,4.0,0.0
TOYOTA,86 GT,58000.0,2000.0,manual transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2016.0,3247422.0,3247422.0,9.0,1.0
GENESIS,G90,79000.0,3778.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,6704709.0,6704709.0,4.0,1.0
BMW,5 SERIES,65000.0,1998.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,4884575.0,4884575.0,7.0,1.0
