car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh),redundant_price_column,car_age,mileage_category
BMW,X4,34973.1879968728,1995.0,automatic transmission,Diesel,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2018.0,6534626.843978214,7220867.0,7.0,0.0
TOYOTA,86,25368.14293118602,2000.0,automatic transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2019.0,3473667.994625696,3551109.0,6.0,0.0
GENESIS,GV80,129551.20510130492,2996.0,automatic transmission,Diesel,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2020.0,6247439.271979809,6187767.0,5.0,2.0
GENESIS,G90,87058.9683994856,3342.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,6820891.666315156,6347309.0,6.0,1.0
KIA,K9,91525.00551704151,3778.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,4699030.135571404,4765389.0,7.0,1.0
TOYOTA,AURIS 150X S PKG,62749.08237578258,1490.0,automatic transmission,Petrol,RHD,2WD,5 Seats,5 Doors,hatchback,1,1,1,1,1,1,1,0,2016.0,1028044.3298588496,1011901.0,9.0,1.0
GENESIS,G80,22421.92237224183,3470.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,7050426.016397367,7286820.0,3.0,0.0
TOYOTA,PRIUS PHV,30270.955346070252,1800.0,automatic transmission,Hybrid,RHD,Other,4 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,2857788.8582003657,2759645.0,9.0,0.0
TOYOTA,86,4236.445173797066,2400.0,automatic transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2023.0,4467732.443298373,4559697.0,2.0,0.0
BMW,XM XM 2023 GCC WARRANTY,2005.0068610213943,900.0,automatic transmission,Hybrid,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,0,2022.0,11922623.925145304,12155848.999999989,3.0,0.0
TOYOTA,PRIUS A,59786.925875835324,1800.0,automatic transmission,Hybrid,RHD,4WD,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018.0,2719189.220615868,2528025.0,7.0,1.0
KIA,K7,34961.23136181304,2359.0,automatic transmission,Hybrid,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,4731254.611647895,4734768.0,5.0,0.0
TOYOTA,LAND CRUISER PRADO,1010.9702652908968,2700.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2023.0,4958519.305336039,5349541.0,2.0,0.0
TOYOTA,LAND CRUISER PRADO,4674.575023950505,2700.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,0,0,2024.0,7335390.735918282,6895187.0,1.0,0.0
MERCEDES,GLB CLASS,19614.366260765943,1991.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2022.0,6228737.391695135,6089623.0,3.0,0.0
TOYOTA,PRIUS,83258.06724013154,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2015.0,2569255.467774515,2613764.0,10.0,1.0
GENESIS,G80,104122.47855226736,2497.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,4996774.55345292,5448783.0,5.0,2.0
